C,T,M,Nome,Squadra,Quotazione,ID,EID
P,P,Por,Svilar,Roma,19,5841,5841
P,P,Por,Carnesecchi,Atalanta,17,4431,4431
P,P,Por,Martinez Jo.,Inter,17,5116,5116
P,P,Por,Vicario,Juventus,17,4964,4964
P,P,Por,Butez,Como,15,6966,6966
P,P,Por,Maignan,Milan,15,4312,4312
P,P,Por,De Gea,Fiorentina,11,2521,2521
P,P,Por,Meret,Napoli,11,572,572
P,P,Por,Skorupski,Bologna,10,133,133
P,P,Por,Caprile,Cagliari,10,4360,4360
P,P,Por,Mandas,Lazio,10,6482,6482
P,P,Por,Okoye,Udinese,9,6462,6462
P,P,Por,Perri,Torino,9,6534,6534
P,P,Por,Bijlow,Genoa,8,7332,7332
P,P,Por,Falcone,Lecce,8,2134,2134
P,P,Por,Sanchez Ro.,Como,8,6344,6344
P,P,Por,Muric,Sassuolo,7,4236,4236
P,P,Por,Daffara,Parma,6,7411,7411
P,P,Por,Stankovic F.,Venezia,6,6248,6248
P,P,Por,Palmisani,Frosinone,5,6415,6415
P,P,Por,Milinkovic-Savic V.,Napoli,5,2170,2170
P,P,Por,Thiam,Monza,4,4485,4485
P,P,Por,Desplanches,Frosinone,2,7463,7463
P,P,Por,Provedel,Inter,2,2814,2814
P,P,Por,Corvi,Parma,2,6662,6662
P,P,Por,Sportiello,Atalanta,1,4,4
P,P,Por,Happonen,Bologna,1,7533,7533
P,P,Por,Pessina Mas.,Bologna,1,7172,7172
P,P,Por,Sherri,Cagliari,1,6650,6650
P,P,Por,Tornqvist,Monza,1,7301,7301
P,P,Por,Vigorito,Como,1,2809,2809
P,P,Por,Christensen O.,Fiorentina,1,6403,6403
P,P,Por,Lezzerini,Fiorentina,1,158,158
P,P,Por,Lolic,Frosinone,1,7466,7466
P,P,Por,Sommariva,Genoa,1,219,219
P,P,Por,Stolz,Genoa,1,6569,6569
P,P,Por,Di Gennaro,Inter,1,1926,1926
P,P,Por,Pinsoglio,Juventus,1,1930,1930
P,P,Por,Motta,Lazio,1,7337,7337
P,P,Por,Renzetti,Lazio,1,7534,7534
P,P,Por,Terracciano,Milan,1,2815,2815
P,P,Por,Torriani,Milan,1,6813,6813
P,P,Por,Strajnar,Monza,1,7475,7475
P,P,Por,Contini,Napoli,1,2845,2845
P,P,Por,De Marzi,Roma,1,7048,7048
P,P,Por,Gollini,Roma,1,610,610
P,P,Por,Russo A.,Sassuolo,1,4518,4518
P,P,Por,Turati,Sassuolo,1,4867,4867
P,P,Por,Mascardi,Torino,1,7457,7457
P,P,Por,Paleari,Torino,1,5320,5320
P,P,Por,Siviero,Torino,1,7363,7363
P,P,Por,Padelli,Udinese,1,543,543
P,P,Por,Piana,Udinese,1,5707,5707
P,P,Por,Grandi,Venezia,1,6671,6671
P,P,Por,Pozzi,Venezia,1,7531,7531
P,P,Por,Satalino,Sassuolo,1,2127,2127
P,P,Por,Penev,Lecce,1,7557,7557
P,P,Por,Pisseri,Frosinone,1,7560,7560
P,P,Por,Radunovic,Cagliari,1,3,3
P,P,Por,Montipò,Venezia,1,4957,4957
P,P,Por,Bleve,Lecce,1,4468,4468
P,P,Por,Grabara,Juventus,1,7603,7603
P,P,Por,Mrozek,Udinese,1,7611,7611
P,P,Por,Ghidotti,Parma,1,2874,2874
D,P,Por,Dimarco,Inter,31,254,254
D,P,Por,Wesley,Roma,18,7181,7181
D,P,Por,Molina N.,Roma,18,4998,4998
D,P,Por,Bremer,Juventus,16,2788,2788
D,P,Por,Mancini,Roma,16,2296,2296
D,P,Por,Akanji,Inter,15,4159,4159
D,P,Por,Rrahmani,Napoli,15,4409,4409
D,P,Por,Bastoni,Inter,14,2120,2120
D,P,Por,Kalulu,Juventus,14,4976,4976
D,P,Por,Pavlovic,Milan,14,5022,5022
D,P,Por,Gila,Milan,13,5833,5833
D,P,Por,N'Dicka,Roma,13,4317,4317
D,P,Por,Solet,Udinese,13,6956,6956
D,P,Por,Bisseck,Inter,12,6217,6217
D,P,Por,Stones,Inter,12,2514,2514
D,P,Por,Di Lorenzo,Napoli,12,2816,2816
D,P,Por,Ostigard,Genoa,11,5750,5750
D,P,Por,Hermoso,Roma,11,4807,4807
D,P,Por,Spence,Inter,11,5982,5982
D,P,Por,Scalvini,Atalanta,10,5526,5526
D,P,Por,Ramon,Como,10,6869,6869
D,P,Por,Chalobah T.,Como,10,5641,5641
D,P,Por,Dodò,Fiorentina,9,5885,5885
D,P,Por,Vasquez,Genoa,9,5514,5514
D,P,Por,Vojvoda,Udinese,9,4994,4994
D,P,Por,Kamara H.,Udinese,9,5555,5555
D,P,Por,Zappacosta,Atalanta,8,554,554
D,P,Por,Miranda J.,Bologna,8,4734,4734
D,P,Por,Norton-Cuffy,Genoa,8,6814,6814
D,P,Por,Celik,Juventus,8,4657,4657
